search_query,arxiv_id,arxiv_id_base,title,authors,published,updated,year,primary_category,categories,summary,comment,journal_ref,doi,abs_url,pdf_url,legacy_notebook_query,relevance_score,topic_class
"all:""quantum diffusion model""",2607.07072,2607.07072,An Hybrid Quantum-Classical Diffusion Model for Image Generation,"Qipeng Qian, Keli Deng, Yuntao Qian",2026-07-08T07:01:07Z,2026-07-08T07:01:07Z,2026,cs.LG,cs.LG,"Quantum diffusion models provide a physics-consistent route to generative learning by formulating noising and denoising directly on quantum states. However, applying such models to classical high-dimensional data is constrained by the qubit cost of state encoding and the computational burden of simulating large density operators. We propose a scalable hybrid generative pipeline that combines a classical autoencoder for dimensionality reduction with a mixed-state quantum denoising diffusion probabilistic model (MSQuDDPM) operating in the learned latent space. The autoencoder compresses data into compact latent codes that can be embedded into a small-qubit Hilbert space, after which the quantum diffusion model learns a generative distribution over latent density operators and decodes samples back to the original domain. Algorithmically, we simplify the reverse dynamics by predicting an estimate of the clean state $ρ_0$ at timestep $t$ and computing the one-step reverse update via an analytic backward propagation rule, rather than learning an explicit predictor for $ρ_{t-1}$. We demonstrate the proposed approach on MNIST image generation and discuss how mixed-state quantum diffusion can serve as a practical backbone for hybrid quantum--classical generative modeling under realistic qubit budgets.",,,,https://arxiv.org/abs/2607.07072v1,https://arxiv.org/pdf/2607.07072v1,"all:""quantum diffusion model""",27,DDPM / denoising diffusion
"all:""quantum diffusion model""",2607.00566,2607.00566,Effective Color Dipole Approach to Color Transparency in $ρ^0$ Electroproduction,"Tae Keun Choi, Kook-Jin Kong, Byung-Geel Yu",2026-07-01T07:53:25Z,2026-07-07T04:09:35Z,2026,hep-ph,"hep-ph, nucl-th","We investigate nuclear transparency in exclusive $ρ^0$ electroproduction on $^{12}$C and $^{56}$Fe nuclei within a multi-channel final-state interaction (FSI) framework that explicitly incorporates the kinematic decay length effect (DLE) arising from the short-lived $ρ^0\toπ^+π^-$ decay. The purely kinematic and nuclear mechanisms prove insufficient to account for the CLAS data: the DLE alone cannot generate the observed $Q^2$-dependent enhancement, and the inclusion of nuclear shadowing further deepens the disagreement, so that a compensating reduction of the in-medium attenuation -- the hallmark of color transparency (CT) -- is required. To incorporate the color dynamics of the initially compact $q\bar{q}$ configuration, we replace the empirical Quantum Diffusion Model (QDM) ansatz for the initial interaction cross section $σ_h(Q^2)$ of the point-like configuration (PLC) by an effective Color Dipole Model (CDM) boundary condition, evaluated through a normalized dipole-weighted $γ^*\toρ^0$ transition overlap. Combined with the standard linear QDM transport at an effective in-medium expansion scale $Δm^2 = 0.3$~GeV$^2$, the CDM boundary condition reproduces both the magnitude and the $Q^2$ dependence of the data for both targets. A $χ^2$ analysis quantifies the pronounced separation between the non-CT and CT-based descriptions and thereby supports the onset of color transparency in the $ρ^0$ channel beyond what kinematic decay-length effects can accommodate.",,,,https://arxiv.org/abs/2607.00566v3,https://arxiv.org/pdf/2607.00566v3,"all:""quantum diffusion model""",12,other / needs manual check
"all:""quantum circuit"" AND all:""diffusion model""",2606.29636,2606.29636,Lie Group Diffusion Models for Hardware-Aware Quantum Circuit Synthesis,Jyotirmai Singh,2026-06-28T22:59:34Z,2026-06-28T22:59:34Z,2026,quant-ph,"quant-ph, cs.LG","An important task in quantum computing is unitary circuit synthesis compatible with physical hardware constraints. This problem has a natural hybrid structure as local single-qubit gates are continuous variables on the Lie group $SU(2)$ while the entangling circuit structure is discrete and hardware-dependent. In this work, we use generative models to perform quantum circuit synthesis incorporating both the natural $SU(2)$ manifold geometry of quantum gates and hardware constraints that determine the overall circuit structure. Our model comprises two components: a circuit skeleton selector that chooses an entangling circuit and a diffusion model that generates quantum gates on the given circuit template by performing diffusion on the curved manifold $\mathrm{SU(2)} \simeq S^3$ itself. We demonstrate this approach with unitary compilation of physically motivated three-qubit Hamiltonian simulation targets such as the Transverse Field Ising Model and the Heisenberg-XXZ Model and show that Lie group diffusion outperforms comparable baselines. The synthesised circuits can also be customised subject to constraints, which we demonstrate by producing circuits with large and small gate rotation angles for the same target unitary evolution. We also investigate the fidelity-complexity frontier of the synthesised gates to demonstrate that the circuit selector learns to select circuits that balance fidelity with complexity rather than collapsing onto the most expansive entangling template. These results demonstrate that Lie group diffusion provides a natural generative framework for hardware-aware quantum circuit synthesis.",,,,https://arxiv.org/abs/2606.29636v1,https://arxiv.org/pdf/2606.29636v1,"all:""quantum circuit"" AND all:""diffusion model""",19,quantum circuit / QNN generative model
"all:""quantum generative model"" AND all:""diffusion""",2606.28483,2606.28483,Quantum Fourier Generative Models Trainable at Large Scale,"Cenk Tüysüz, Oleksandr Kyriienko, Michele Grossi",2026-06-26T18:00:00Z,2026-06-26T18:00:00Z,2026,quant-ph,quant-ph,"We propose an algorithmic framework for building and training quantum generative models corresponding to multivariate probability distributions. Our model uses parallel Fourier feature maps for embedding continuous-valued variables combined with a forrelation-type quantum circuit for tuning Fourier coefficients of the quantum model. Crucially, we develop a distinct training strategy where training is enabled at large scale by log-likelihood loss with unbiased Monte Carlo estimator based on Parseval's identity. Unlike prior work that relied on maximal mean discrepancy (MMD) loss, our approach goes beyond matching just low frequency moments, while enabling efficient classical training. Once the model is trained, we use inverse quantum Fourier transforms to map it into a separate sampling circuit in the computational basis. We demonstrate the efficiency of the suggested framework by validating loss estimation at the scale of over 1000 qubits on a single GPU. We show that univariate and bivariate models with highly non-trivial structure can be trained to low total variation distance, while fine-tuned IQP models with MMD loss show poor performance. Comparing to classical baselines represented by normalizing flow and diffusion models, we show that our approach avoids oversmoothing and preserves multi-modal structure of the target. Finally, we have deployed the trained models on superconducting quantum devices, successfully sampling distributions with per-sample execution times of approximately $300\,μ\mathrm{s}$. Our work shows that quantum generative models with the train-on-classical deploy-on-quantum approach can provide both high-quality structure at increased scale and fast sampling access needed for inference.",,,,https://arxiv.org/abs/2606.28483v1,https://arxiv.org/pdf/2606.28483v1,"all:""quantum generative model"" AND all:""diffusion""",25,quantum circuit / QNN generative model
"all:""quantum neural network"" AND all:""diffusion model""",2606.27561,2606.27561,Quantum Generative Diffusion Model for Real-World Time Series,"Jack Waller, Filippo Caruso, Dimitrios Makris, Rajagopal Nilavalan, Xing Liang",2026-06-25T21:33:57Z,2026-06-25T21:33:57Z,2026,cs.LG,"cs.LG, quant-ph","Generative models have achieved remarkable success in data synthesis, though recent advances driven by increasing model scale have introduced challenges in computational cost and efficiency. Quantum machine learning offers a promising alternative, representing complex data distributions using compact, highly expressive models. Here, we propose QDiffusion-TS, the first quantum generative diffusion model for time series synthesis, and validate it on the IQM quantum processor. The framework extends a classical diffusion architecture by replacing feed-forward components within the denoising transformer with quantum neural networks, yielding a hybrid quantum transformer that reduces the number of trainable parameters in each replaced component by nearly three orders of magnitude. Evaluated on financial time series from Apple and Amazon, the model generates synthetic data that more accurately reproduces the real distributions, reducing Wasserstein distance by approximately 44% relative to its classical counterpart across both datasets. In a downstream forecasting task, augmentation with the generated data improves predictive performance by up to 71% in RMSE over a baseline trained solely on real data. These results show that quantum enhanced architectures can consistently match and frequently surpass classical performance with substantially fewer parameters, establishing a practical framework towards more efficient and scalable data-driven generative modelling.",,,,https://arxiv.org/abs/2606.27561v1,https://arxiv.org/pdf/2606.27561v1,"all:""quantum neural network"" AND all:""diffusion model""",30,quantum circuit / QNN generative model
"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",2606.05217,2606.05217,The Score Hamiltonian: Mapping Diffusion Models to Adiabatic Transport,"Peter Halmos, Boris Hanin",2026-05-28T18:39:52Z,2026-06-22T00:30:31Z,2026,math-ph,"math-ph, cs.AI, cs.LG, physics.data-an","We exhibit an exact correspondence between sampling with score-based diffusion models and adiabatic transport of ground states for a family of Schrödinger operators we call Score Hamiltonians, built from the learned score's quantum potential. We obtain novel density reconstruction bounds and principled annealing schedules via adiabatic theorems for Fokker-Planck equations with time-varying potentials. We find the fundamental limit of sampling is set by the ratio of squared score-matching error to Score Hamiltonian spectral gap - the inverse Poincaré constant of the data density.",,,,https://arxiv.org/abs/2606.05217v2,https://arxiv.org/pdf/2606.05217v2,"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",18,score-based diffusion
"all:""quantum circuit"" AND all:""diffusion model""",2605.23403,2605.23403,Hybrid Quantum-Classical Corrective Diffusion Modeling for Meteorological Downscaling,"Rui Wang, Edoardo Pasetto, Amer Delilbasic, Morris Riedel, Kristel Michielsen, Gabriele Cavallaro",2026-05-22T09:14:25Z,2026-05-22T09:14:25Z,2026,cs.LG,"cs.LG, physics.ao-ph, quant-ph","Statistical downscaling is a crucial component of the weather modeling field, where high-resolution outputs must be reconstructed from coarse-resolution inputs with the full cost of dynamical refinement. In this work, we investigate a hybrid quantum-classical corrective diffusion model for probabilistic statistical downscaling of weather fields. The proposed model inserts variational quantum circuit layers into the most compressed bottleneck of the diffusion UNet while leaving the regression branch fully classical. This placement tests whether quantum circuits can act as compact nonlinear feature maps for latent-channel mixing. We evaluate intra-channel and cross-channel ansätze on 10m wind components. On the 2020 validation set, the hybrid models remain stable, preserve the large-scale spatial organization of the generated wind fields, and improve both MAE and CRPS relative to a classical corrective diffusion model in several configurations. Structural diagnostics further show that the hybrid variants preserve kinetic-energy spectra and windspeed distributions similar to its classical counterpart while producing controlled changes in tail behavior, extreme-windspeed localization, and joint wind field components structure. Backend studies on the 2020 validation set show negligible impact from simulated device noise at the tested circuit scale, whereas real-hardware deployment remains limited by qubit availability and execution fidelity. The 2021 out-of-distribution test shows that these in-distribution gains do not transfer uniformly under temporal shift, revealing a generalization gap that motivates future mitigation through stabilization and regularization. These results show that bottleneck-level quantum hybridization can make a nontrivial contribution to weather statistical downscaling, while also highlighting that circuit scale and hardware deployment remain key limiting factors.",,,,https://arxiv.org/abs/2605.23403v1,https://arxiv.org/pdf/2605.23403v1,"all:""quantum circuit"" AND all:""diffusion model""",18,quantum circuit / QNN generative model
"all:""quantum"" AND all:""denoising diffusion probabilistic model""",2605.19754,2605.19754,Hypothesis Tests for Observing Quantum Entanglement in HWW at the LHC,"Vincent Alexander Croft, Lennart Voelz, Andrii Vak, Andre Sopczak, Carsten Burgard",2026-05-19T12:25:10Z,2026-05-19T12:25:10Z,2026,hep-ex,hep-ex,"We present a novel experimental strategy for testing quantum entanglement in Higgs boson decays to $W$ boson pairs at the Large Hadron Collider. Unlike theoretical approaches that rely on expectation values of Bell operators, which are highly sensitive to outliers and detector effects, we introduce a continuous formulation of the CGLMP inequality that enables standard hypothesis testing between entangled and separable states. To overcome the fundamental challenge of reconstructing invisible neutrino momenta in the $H \rightarrow WW^* \rightarrow \ellν\ellν$ channel, we employ conditional denoising diffusion probabilistic models (cDDPM), which provide unbiased, multidimensional unfolding applicable to the full measured dataset, including backgrounds. We evaluate the diffusion-based reconstruction against analytical methods through profile likelihood hypothesis tests implemented in RooFit, with systematic uncertainties from background normalisation and unfolding shape fully propagated. Our results demonstrate that the diffusion-based approach enables robust hypothesis testing of quantum entanglement in a realistic collider environment, with 3$σ$ evidence of quantum entanglement projected at approximately 555~fb$^{-1}$ and exceeding 5$σ$ at 1600~fb$^{-1}$ to be well within the expected limits of the HL-LHC luminosity targets.",,,,https://arxiv.org/abs/2605.19754v1,https://arxiv.org/pdf/2605.19754v1,"all:""quantum"" AND all:""denoising diffusion probabilistic model""",21,DDPM / denoising diffusion
"all:""quantum"" AND all:""DDPM""",2605.13268,2605.13268,Physics Guided Generative Optimization for Trotter Suzuki Decomposition,WenBin Yan,2026-05-13T09:48:33Z,2026-06-04T20:01:09Z,2026,quant-ph,"quant-ph, cs.LG","Trotter Suzuki product formulas are the standard route to Hamiltonian evolution on noisy intermediate-scale quantum (\NISQ{}) hardware, but their accuracy depends on three coupled choices: term grouping, product-formula order, and time-step allocation. Grouping and order are discrete, which makes direct gradient optimization infeasible and forces existing compilers to rely on static heuristics. We describe P-GONE, a method that combines a conditional diffusion model (D3PM + DDPM), a graph neural network (\GNN{}) encoder, and closed-loop REINFORCE fine-tuning to jointly learn grouping, order, and time-step optimization over a mixed discrete-continuous space. Under fidelity-matched conditions ($F \geq 0.95$), the method achieves circuit depth 86 versus 1673 for Qiskit fourth-order (ungrouped, Suzuki-4), about $19.4\times$ compression, and 141 for Paulihedral (first-order Trotter), about $1.6\times$ compression. At $T=0.90$ the method also beats the Qiskit group-commuting teacher (65 vs 103, $1.6\times$ compression), though at $T=0.95$ the teacher still leads -- a stratified pattern that points toward fidelity-aware fine-tuning. Under a standard depolarizing noise model, the method achieves noisy fidelity roughly $2\times$ the Qiskit fourth-order baseline (0.743 vs 0.380). Ablation shows a clear hierarchy: order learning $>$ time allocation $>$ grouping. Best-of-N sampling ($N=32$ is a practical sweet spot) and CFG guidance give flexible fidelity-depth trade-offs at inference. The method works well on structured Hamiltonians (TFIM, Heisenberg), but random Pauli Hamiltonians fail entirely at $T \geq 0.95$ -- a boundary that defines where the method applies.",,,,https://arxiv.org/abs/2605.13268v2,https://arxiv.org/pdf/2605.13268v2,"all:""quantum"" AND all:""DDPM""",18,DDPM / denoising diffusion
"all:""stochastic Schrödinger diffusion""",2605.03573,2605.03573,Stochastic Schrödinger Diffusion Models for Pure-State Ensemble Generation,"Jian Xu, Wei Chen, Shigui Li, Chao Li, Jingyuan Zheng, Delu Zeng, John Paisley, Qibin Zhao",2026-05-05T09:44:14Z,2026-06-15T12:42:57Z,2026,stat.ML,"stat.ML, cs.LG","Quantum machine learning increasingly relies on pure-state representations, motivating generative models that sample directly in quantum representation space rather than perturbing classical inputs and re-encoding. We introduce Stochastic Schrödinger Diffusion Models (SSDMs), a score-based generative framework that defines diffusion, scores, and reverse-time sampling intrinsically on the complex projective manifold $\mathbb{CP}^{d-1}$ under the Fubini--Study metric. SSDMs combine a Riemannian Ornstein--Uhlenbeck forward diffusion with a stochastic Schrödinger realization, and learn reverse-time dynamics driven by the Riemannian score. Our central technical contribution is a local-time learning objective that exploits the local Euclidean OU limit of intrinsic manifold diffusions in Fubini-Study normal coordinates to obtain an analytic teacher score, bypassing the intractable transition densities that limit existing Riemannian score-based models. Across synthetic, physics-inspired (TFIM, XXZ), and quantum feature-state benchmarks up to $14$ qubits, SSDMs match target pure-state ensembles by orders of magnitude on MMD and observable statistics over both ambient Euclidean and matched Riemannian score-based baselines, and improve representation-level diagnostics for downstream quantum kernel methods.",,,,https://arxiv.org/abs/2605.03573v3,https://arxiv.org/pdf/2605.03573v3,"all:""stochastic Schrödinger diffusion""",34,score-based diffusion
