record_id,arxiv_id,doi,year,title,decision,screening_category,exclusion_reason,in_automated_pool,notes
2026-07-09T184559Z_780688a_R007356,2602.22061,,2026,Learning Quantum Data Distribution via Chaotic Quantum Diffusion Model,included,CORE,,True,Quantum-native chaotic QuDDPM.
2026-07-09T184559Z_780688a_R007360,2605.03573,,2026,Stochastic Schrödinger Diffusion Models for Pure-State Ensemble Generation,included,CORE,,True,Score-based quantum-native diffusion (SSDM).
2026-07-09T184559Z_780688a_R007364,2606.27561,,2026,Quantum Generative Diffusion Model for Real-World Time Series,included,CORE,,True,Quantum generative diffusion for time series.
2026-07-09T184559Z_780688a_R007367,2607.07072,,2026,An Hybrid Quantum-Classical Diffusion Model for Image Generation,included,CORE,,True,Hybrid quantum-classical diffusion for images.
2026-07-09T184559Z_780688a_R007375,2602.03405,,2026,Enhancing Quantum Diffusion Models for Complex Image Generation,included,CORE,,True,Hybrid Q-C U-Net QDM for complex images.
2026-07-09T184559Z_780688a_R007386,2605.01367,,2026,From Characterization To Construction: Generative Quantum Circuit Synthesis from Gate Set Tomography Data,included,CORE,,True,Generative quantum circuit synthesis from gate sets.
2026-07-09T184559Z_780688a_R007385,2606.29636,,2026,Lie Group Diffusion Models for Hardware-Aware Quantum Circuit Synthesis,included,CORE,,True,Lie-group diffusion models for hardware-aware circuit synthesis.
2026-07-09T184559Z_780688a_R000158,2509.14163,10.1109/icassp55912.2026.11461991,2026,Quantum Reinforcement Learning-Guided Diffusion Model for Image Synthesis via Hybrid Quantum-Classical Generative Model Architectures,included,CORE,,True,Quantum RL-guided hybrid diffusion for image synthesis.
2026-07-09T184559Z_780688a_R000342,2509.17324,10.1109/icassp55912.2026.11461326,2026,DiffQ: Unified Parameter Initialization for Variational Quantum Algorithms Via Diffusion Models,included,CORE,,True,DiffQ: diffusion for VQA parameter initialization (circuit-adjacent).
2026-07-09T184559Z_780688a_R000380,2512.20448,10.1109/tgrs.2026.3661445,2026,Enriching Earth Observation Labeled Data With Quantum Conditioned Diffusion Models,included,CORE,,True,Quantum conditioned diffusion for Earth-observation data.
2026-07-09T184559Z_780688a_R003757,,10.1007/s42484-026-00352-1,2026,Quantum latent diffusion model for high-dimensional state generation,included,CORE,,True,Quantum latent diffusion for high-dimensional state generation (QMI).
2026-07-09T184559Z_780688a_R007410,2603.06488,,2026,Score Reversal Is Not Free for Quantum Diffusion Models,included,CORE,,True,No-go theory for reverse quantum diffusion.
2026-07-09T184559Z_780688a_R007357,2512.06695,,2025,Mitigating Barren Plateaus in Quantum Denoising Diffusion Probabilistic Model,included,CORE,,True,QuDDPM barren-plateau mitigation.
2026-07-09T184559Z_780688a_R007362,2505.05151,,2025,Overcoming Dimensional Factorization Limits in Discrete Diffusion Models through Quantum Joint Distribution Learning,included,CORE,,True,Quantum discrete diffusion (dimensional factorization limits).
2026-07-09T184559Z_780688a_R007373,2509.17569,,2025,Conditioning in Generative Quantum Denoising Diffusion Models,included,CORE,,True,Conditioning in generative QuDDPM.
2026-07-09T184559Z_780688a_R007378,2506.01666,10.1088/2632-2153/ae5b21,2025,Synthesis of discrete-continuous quantum circuits with multimodal diffusion models,included,CORE,,True,Multimodal diffusion for discrete-continuous circuit synthesis.
2026-07-09T184559Z_780688a_R007383,2506.19270,,2025,Continuous-variable Quantum Diffusion Model for State Generation and Restoration,included,CORE,,True,Continuous-variable quantum diffusion model.
2026-07-09T184559Z_780688a_R007389,2501.16380,,2025,UDiTQC: U-Net-Style Diffusion Transformer for Quantum Circuit Synthesis,included,CORE,,True,U-Net diffusion transformer for quantum circuit synthesis.
