record_id,title,authors,year,publication_date,updated_date,doi,arxiv_id,publisher,venue,document_type,abstract,url,pdf_url,all_sources,all_query_ids,legacy_notebook_source,legacy_notebook_relevance_score,new_relevance_score,automated_topic_class,screening_decision,screening_category,review_scope_group,count_as_quantum_diffusion_model,recommended_use_in_manuscript,inclusion_justification_pt,exclusion_reason_code,screening_basis,screening_confidence,manual_verification_required,duplicate_group_id,preprint_publication_link,notes,abstract_source,abstract_available,contains_quantum_term,contains_diffusion_model_term,contains_generative_term,contains_quantum_computing_context,contains_physical_diffusion_only,contains_schrodinger_only,contains_score_matching_in_unrelated_context,crossref_query_match_quality
2026-07-09T184559Z_780688a_R006956,Probabilistic Super-Resolution for Urban Micrometeorology via a Schrödinger Bridge,Yuki Yasuda; Ryo Onishi,2026,2026-01-21,2026-01-21,10.1007/s44393-025-00007-7,,Springer Science and Business Media LLC,SOLA,journal-article,"<jats:title>Abstract</jats:title> <jats:p>This study employs a neural network that represents the solution to a Schrödinger bridge problem to perform super-resolution of 2-m temperature in an urban area. Schrödinger bridges generally describe transformations between two data distributions based on diffusion processes. We use a specific Schrödinger-bridge model (SM) that directly transforms low-resolution data into high-resolution data, unlike denoising diffusion probabilistic models (simply, diffusion models; DMs) that generate high-resolution data from Gaussian noise. Low-resolution and high-resolution data were obtained from separate numerical simulations with a physics-based model under common initial and boundary conditions. Compared with a DM, the SM attains comparable accuracy at one-fifth the computational cost, requiring 50 neural-network evaluations per datum for the DM and only 10 for the SM. Furthermore, high-resolution samples generated by the SM exhibit larger variance, implying superior uncertainty quantification relative to the DM. Owing to the reduced computational cost of the SM, our results suggest the feasibility of real-time ensemble micrometeorological prediction using SM-based super-resolution.</jats:p>",https://doi.org/10.1007/s44393-025-00007-7,,Springer,Q17,False,,28.0,,INCLUDE,BACKGROUND,G6 - Theoretical quantum-diffusion connection,NO,Background for mathematical links between diffusion and quantum mechanics,O trabalho 'Probabilistic Super-Resolution for Urban Micrometeorology via a Schrödinger Bridge' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D04630,False,,Crossref,True,False,True,True,False,False,False,False,low
2026-07-09T184559Z_780688a_R004020,Quantum-classical generative models for drug design,Prateek Jain; Param Pathak; Krishna Bhatia; Shalini Devendrababu; Srinjoy Ganguly,2026,2026-06-01,2026-07-01,10.1007/s42484-026-00356-x,,Springer Science and Business Media LLC,Quantum Machine Intelligence,journal-article,"<jats:title>Abstract</jats:title> <jats:p>In molecular research, the modelling and analysis of molecules through simulation is an important part that has a direct influence on medical development, material science and drug discovery. The processing power required to design protein chains with hundreds of peptides is huge. Classical computing techniques, including state-of-the-art machine learning models being deployed on classical computing machines, have proven to be inefficient in this task, though they have been successful in a limited way. Moreover, current practical implementations, as opposed to purely theoretical modelling, are often infeasible in terms of both time and cost. One of the major areas where quantum machine learning is expected to have a profound advantage over classical algorithms is drug discovery. Quantum generative models have given some promising benefits in recent studies. This paper introduces three novel quantum generative adversarial network (QGAN) architecture variants resulting from different configurations, various quantum circuit layers and patched ansatz. A quantum simulator from Xanadu’s PennyLane was utilized for executing the QGAN models trained on the QM9 dataset. Upon evaluation, one of the models, namely the QWGAN-HG-GP (Wasserstein distance with gradient penalty) model, outperformed the other QGAN models in different drug molecule property metrics.</jats:p>",https://doi.org/10.1007/s42484-026-00356-x,,Springer,Q02; Q08; Q09,False,,20.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Quantum-classical generative models for drug design' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+abstract+metadata,0.7,False,D02704,False,,Crossref,True,True,False,True,True,False,False,False,medium
2026-07-09T184559Z_780688a_R006962,Explainable Diffusion Model via Schrödinger Bridge in Multimodal Image Translation,Zhengyi Lu; Robert Ewing; Erik Blasch; Jia Li,2026,2026-01-01,2026-07-03,10.1007/978-3-031-94895-4_41,,Springer Nature Switzerland,Lecture Notes in Computer Science,book-chapter,,https://doi.org/10.1007/978-3-031-94895-4_41,,Springer,Q17; Q18,False,,13.0,,INCLUDE,BACKGROUND,G6 - Theoretical quantum-diffusion connection,NO,Background for mathematical links between diffusion and quantum mechanics,O trabalho 'Explainable Diffusion Model via Schrödinger Bridge in Multimodal Image Translation' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D04635,False,,not_available,False,False,True,False,False,False,False,False,low
2026-07-09T184559Z_780688a_R001174,From User State to Destination: Schrödinger Bridge-Guided Diffusion Model for Personalized Next POI Recommendation,Jiankai Zuo; Zihao Yao; Ruijie Xu; Xiang Gao; Yaying Zhang,2026,2026-06-01,2026-06-03,10.1109/tcss.2026.3675313,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Computational Social Systems,journal-article,,https://doi.org/10.1109/tcss.2026.3675313,,IEEE,Q06; Q17; Q18,False,,13.0,,INCLUDE,BACKGROUND,G6 - Theoretical quantum-diffusion connection,NO,Background for mathematical links between diffusion and quantum mechanics,O trabalho 'From User State to Destination: Schrödinger Bridge-Guided Diffusion Model for Personalized Next POI Recommendation' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D00778,False,,not_available,False,False,True,False,False,False,False,False,low
2026-07-09T184559Z_780688a_R001857,Integrating Quantum Generative Models with Deep Learning for Skin Disease Diagnosis and Data Augmentation,K. Sudharson; V.E.N.V. Mani Pavan; Pothuru Likhitha,2026,2026-01-31,2026-03-19,10.1109/sceecs68810.2026.11430168,,IEEE,"2026 IEEE International Students' Conference on Electrical, Electronics and Computer Science (SCEECS)",proceedings-article,,https://doi.org/10.1109/sceecs68810.2026.11430168,,IEEE,Q09,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Integrating Quantum Generative Models with Deep Learning for Skin Disease Diagnosis and Data Augmentation' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01210,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005326,Towards Stable and Diverse Generative Models with Dual Hybrid Quantum Generative Adversarial Network,S. Kushal Varma; Maski Yashasv; Lanka Dhanush; Kotari Harshith; Srinath Devale,2026,2026-01-01,2026-06-12,10.1007/978-3-032-26352-0_32,,Springer Nature Switzerland,Lecture Notes in Computer Science,book-chapter,,https://doi.org/10.1007/978-3-032-26352-0_32,,Springer,Q08; Q09,False,,13.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Towards Stable and Diverse Generative Models with Dual Hybrid Quantum Generative Adversarial Network' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03543,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001682,Advanced Heart Disease Detection: A Quantum Generative Attention Model for Sensing Networks,D. Mythrayee; Shirisha Vadde; Naveen Rajaropu; Dinesh Kumar Anguraj; Manisha Guduri; Chinmay Chakraborty,2026,2026-04-01,2026-04-02,10.1109/jsen.2026.3661889,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Sensors Journal,journal-article,,https://doi.org/10.1109/jsen.2026.3661889,,IEEE,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Advanced Heart Disease Detection: A Quantum Generative Attention Model for Sensing Networks' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01095,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R001635,Dual-Discriminator Hybrid Quantum Generative Adversarial Networks for Improved GAN Performance,Purin Pongpanich; Tanasanee Phienthrakul,2026,2026-01-01,2026-01-13,10.1109/tqe.2025.3642110,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Quantum Engineering,journal-article,,https://doi.org/10.1109/tqe.2025.3642110,,IEEE,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'Dual-Discriminator Hybrid Quantum Generative Adversarial Networks for Improved GAN Performance' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D01055,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005191,"Quantum generative adversarial networks: a comprehensive survey of theories, applications, and challenges in the NISQ era",Han Qi; Yihan Xu; Hao Wang; Abdullah Gani; Lip Yee Por,2026,2026-05-22,2026-05-22,10.1007/s11128-026-05186-1,,Springer Science and Business Media LLC,Quantum Information Processing,journal-article,,https://doi.org/10.1007/s11128-026-05186-1,,Springer,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,"O trabalho 'Quantum generative adversarial networks: a comprehensive survey of theories, applications, and challenges in the NISQ era' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.",,title+metadata_only,0.7,False,D03466,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005170,"Quantum generative adversarial networks: architectures, use cases, and real-world implementations",Mujahidul Islam; Serkan Turkeli; Fatih Ozaydin,2026,2026-01-08,2026-02-13,10.1007/s11128-025-05044-6,,Springer Science and Business Media LLC,Quantum Information Processing,journal-article,,https://doi.org/10.1007/s11128-025-05044-6,,Springer,Q08; Q09,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,"O trabalho 'Quantum generative adversarial networks: architectures, use cases, and real-world implementations' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.",,title+metadata_only,0.7,False,D03451,False,,not_available,False,True,False,True,False,False,False,False,medium
2026-07-09T184559Z_780688a_R005332,RQ-QGAN: recurrent quantum generative adversarial network with QLSTM-inspired hidden states,Han Qi; Yihan Xu; Hao Wang; Abdullah Gani; Lip Yee Por,2026,2026-06-03,2026-06-03,10.1007/s11227-026-08600-8,,Springer Science and Business Media LLC,The Journal of Supercomputing,journal-article,,https://doi.org/10.1007/s11227-026-08600-8,,Springer,Q08,False,,9.0,,INCLUDE,BACKGROUND,G5 - Alternative quantum generative model,NO,Background comparison for quantum generative modeling,O trabalho 'RQ-QGAN: recurrent quantum generative adversarial network with QLSTM-inspired hidden states' oferece contexto metodológico ou teórico útil para comparar modelos generativos quânticos e difusão.,,title+metadata_only,0.7,False,D03546,False,,not_available,False,True,False,True,False,False,False,False,medium
