record_id,run_id,database_scope,retrieval_source,retrieval_method,query_id,query_text,source_record_id,title,title_normalized,abstract,authors,first_author,publication_date,year,updated_date,doi,doi_normalized,arxiv_id,publisher,container_title,document_type,issn,isbn,volume,issue,pages,subjects,categories,license,is_open_access,landing_page_url,abstract_url,pdf_url,raw_source_file,retrieved_at_utc,relevance_score,positive_matches,negative_matches,score_explanation,topic_class,publisher_validation,publisher_validation_reason,duplicate_group_id,merged_sources,screening_status,exclusion_reason,notes,legacy_notebook_source,legacy_notebook_included,legacy_notebook_relevance_score,legacy_notebook_topic_class,legacy_notebook_query,retrieval_status,contains_quantum_term,contains_diffusion_model_term,contains_generative_term,contains_quantum_computing_context,contains_physical_diffusion_only,contains_schrodinger_only,contains_score_matching_in_unrelated_context,crossref_query_match_quality,all_sources,all_query_ids,all_source_record_ids,arxiv_source,ieee_crossref_source,springer_crossref_source,preprint_publication_link
2026-07-09T184559Z_780688a_R007367,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2607.07072,An Hybrid Quantum-Classical Diffusion Model for Image Generation,an hybrid quantum classical diffusion model for image generation,"Quantum diffusion models provide a physics-consistent route to generative learning by formulating noising and denoising directly on quantum states. However, applying such models to classical high-dimensional data is constrained by the qubit cost of state encoding and the computational burden of simulating large density operators. We propose a scalable hybrid generative pipeline that combines a classical autoencoder for dimensionality reduction with a mixed-state quantum denoising diffusion probabilistic model (MSQuDDPM) operating in the learned latent space. The autoencoder compresses data into compact latent codes that can be embedded into a small-qubit Hilbert space, after which the quantum diffusion model learns a generative distribution over latent density operators and decodes samples back to the original domain. Algorithmically, we simplify the reverse dynamics by predicting an estimate of the clean state $ρ_0$ at timestep $t$ and computing the one-step reverse update via an analytic backward propagation rule, rather than learning an explicit predictor for $ρ_{t-1}$. We demonstrate the proposed approach on MNIST image generation and discuss how mixed-state quantum diffusion can serve as a practical backbone for hybrid quantum--classical generative modeling under realistic qubit budgets.",Qipeng Qian; Keli Deng; Yuntao Qian,Qipeng Qian,2026-07-08T07:01:07Z,2026,2026-07-08T07:01:07Z,,,2607.07072,arXiv,,preprint,,,,,,,cs.LG,,,https://arxiv.org/abs/2607.07072v1,https://arxiv.org/abs/2607.07072v1,https://arxiv.org/pdf/2607.07072v1,data/legacy_notebook/arxiv_original_filtered.csv,,27.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6; \bdenoising diffusion\b:7; \bdenoising diffusion probabilistic model(s)?\b:8,,score=27; positives=5; negatives=0,DDPM / denoising diffusion,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00001,Legacy arXiv notebook; arXiv,not_screened,,,True,True,27.0,DDPM / denoising diffusion,"all:""quantum diffusion model""",retrieved,True,True,True,True,False,False,False,high,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q03; Q14,2607.07072,True,False,False,False
2026-07-09T184559Z_780688a_R007408,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2607.00566,Effective Color Dipole Approach to Color Transparency in $ρ^0$ Electroproduction,effective color dipole approach to color transparency in 0 electroproduction,"We investigate nuclear transparency in exclusive $ρ^0$ electroproduction on $^{12}$C and $^{56}$Fe nuclei within a multi-channel final-state interaction (FSI) framework that explicitly incorporates the kinematic decay length effect (DLE) arising from the short-lived $ρ^0\toπ^+π^-$ decay. The purely kinematic and nuclear mechanisms prove insufficient to account for the CLAS data: the DLE alone cannot generate the observed $Q^2$-dependent enhancement, and the inclusion of nuclear shadowing further deepens the disagreement, so that a compensating reduction of the in-medium attenuation -- the hallmark of color transparency (CT) -- is required. To incorporate the color dynamics of the initially compact $q\bar{q}$ configuration, we replace the empirical Quantum Diffusion Model (QDM) ansatz for the initial interaction cross section $σ_h(Q^2)$ of the point-like configuration (PLC) by an effective Color Dipole Model (CDM) boundary condition, evaluated through a normalized dipole-weighted $γ^*\toρ^0$ transition overlap. Combined with the standard linear QDM transport at an effective in-medium expansion scale $Δm^2 = 0.3$~GeV$^2$, the CDM boundary condition reproduces both the magnitude and the $Q^2$ dependence of the data for both targets. A $χ^2$ analysis quantifies the pronounced separation between the non-CT and CT-based descriptions and thereby supports the onset of color transparency in the $ρ^0$ channel beyond what kinematic decay-length effects can accommodate.",Tae Keun Choi; Kook-Jin Kong; Byung-Geel Yu,Tae Keun Choi,2026-07-01T07:53:25Z,2026,2026-07-07T04:09:35Z,,,2607.00566,arXiv,,preprint,,,,,,,"hep-ph, nucl-th",,,https://arxiv.org/abs/2607.00566v3,https://arxiv.org/abs/2607.00566v3,https://arxiv.org/pdf/2607.00566v3,data/legacy_notebook/arxiv_original_filtered.csv,,12.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6,,score=12; positives=3; negatives=0,other / needs manual check,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00002,Legacy arXiv notebook; arXiv,not_screened,,,True,True,12.0,other / needs manual check,"all:""quantum diffusion model""",retrieved,True,True,False,False,False,False,False,medium,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02,2607.00566,True,False,False,False
2026-07-09T184559Z_780688a_R007409,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2604.05612,Deuteron normalization and channel-dependent formation dynamics in pion and kaon color transparency,deuteron normalization and channel dependent formation dynamics in pion and kaon color transparency,"A combined view of the Jefferson Lab data on nuclear transparency in $A(e,e'π^+)$ and $A(e,e'K^+)$ reveals two simple but nontrivial features of the onset of color transparency. First, normalization to deuterium does not play the same role in the two reactions. In pion electroproduction, the missing-mass selection suppresses the neutron-induced $Δ$ channel so strongly that the deuteron normalization becomes effectively proton dominated. In kaon electroproduction, the nearby hyperon channels cannot be removed in the same way, and the deuteron retains a genuine proton--neutron average. Second, the $Q^2$ dependence indicates different in-medium formation dynamics. The pion transparency is well reproduced by the standard quantum diffusion model with $ΔM_π^2 \simeq 0.7~\mathrm{GeV}^2$, whereas the kaon data favor a faster geometric expansion characterized by the scale $R_K \sim \sqrt{σ_{KN}/π}$ and are strongly underestimated by the same pion-like diffusion scale. These results suggest that the pion and kaon data already contain evidence that the onset of color transparency is reaction dependent both in normalization and in propagation through nuclear matter.",Byung-Geel Yu; Kook-Jin Kong; Tae Keun Choi,Byung-Geel Yu,2026-04-07T09:02:56Z,2026,2026-04-09T15:44:56Z,,,2604.05612,arXiv,,preprint,,,,,,,"hep-ph, nucl-th",,,https://arxiv.org/abs/2604.05612v2,https://arxiv.org/abs/2604.05612v2,https://arxiv.org/pdf/2604.05612v2,data/legacy_notebook/arxiv_original_filtered.csv,,12.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6,,score=12; positives=3; negatives=0,other / needs manual check,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00003,Legacy arXiv notebook; arXiv,not_screened,,,True,True,12.0,other / needs manual check,"all:""quantum diffusion model""",retrieved,True,True,False,False,False,False,False,medium,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02,2604.05612,True,False,False,False
2026-07-09T184559Z_780688a_R007410,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2603.06488,Score Reversal Is Not Free for Quantum Diffusion Models,score reversal is not free for quantum diffusion models,"Classical reverse diffusion is generated by changing the drift at fixed noise. We show that the quantum version of this principle obeys an exact law with a sharp phase boundary. For Gaussian pure-loss dynamics, the canonical model of continuous-variable decoherence, we prove that the unrestricted instantaneous reverse optimum exhibits a noiseless-to-noisy transition: below a critical squeezing-to-thermal ratio, reversal can be noiseless; above it, complete positivity forces irreducible reverse noise whose minimum cost we determine in closed form. The optimal reverse diffusion is uniquely covariance-aligned and simultaneously minimizes the geometric, metrological, and thermodynamic price of reversal. For multimode trajectories, the exact cost is additive in a canonical set of mode-resolved data, and a globally continuous protocol attains this optimum on every mixed-state interval. If a pure nonclassical endpoint is included, the same pointwise law holds for every $t>0$, but the optimum diverges as $2/t$: exact Gaussian reversal of a pure quantum state is dynamically unattainable. These results establish the exact Gaussian benchmark against which any broader theory of quantum reverse diffusion must be measured.",Ammar Fayad,Ammar Fayad,2026-03-06T17:16:17Z,2026,2026-03-19T17:48:32Z,,,2603.06488,arXiv,,preprint,,,,,,,"quant-ph, cs.LG, math-ph",,,https://arxiv.org/abs/2603.06488v3,https://arxiv.org/abs/2603.06488v3,https://arxiv.org/pdf/2603.06488v3,data/legacy_notebook/arxiv_original_filtered.csv,,12.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6,,score=12; positives=3; negatives=0,other / needs manual check,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00004,Legacy arXiv notebook; arXiv,not_screened,,,True,True,12.0,other / needs manual check,"all:""quantum diffusion model""",retrieved,True,True,False,False,False,False,False,medium,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02,2603.06488,True,False,False,False
2026-07-09T184559Z_780688a_R007356,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2602.22061,Learning Quantum Data Distribution via Chaotic Quantum Diffusion Model,learning quantum data distribution via chaotic quantum diffusion model,"Generative models for quantum data pose significant challenges but hold immense potential in fields such as chemoinformatics and quantum physics. Quantum denoising diffusion probabilistic models (QuDDPMs) enable efficient learning of quantum data distributions by progressively scrambling and denoising quantum states; however, existing implementations typically rely on circuit-based random unitary dynamics that can be costly to realize and sensitive to control imperfections, particularly on analog quantum hardware. We propose the chaotic quantum diffusion model, a framework that generates projected ensembles via chaotic Hamiltonian time evolution, providing a flexible and hardware-compatible diffusion mechanism. Requiring only global, time-independent control, our approach substantially reduces implementation overhead across diverse analog quantum platforms while achieving accuracy comparable to QuDDPMs. This method improves trainability and robustness, broadening the applicability of quantum generative modeling.",Quoc Hoan Tran; Koki Chinzei; Yasuhiro Endo; Hirotaka Oshima,Quoc Hoan Tran,2026-02-25T16:09:50Z,2026,2026-03-01T07:27:23Z,,,2602.22061,arXiv,,preprint,,,,,,,"quant-ph, cs.LG, nlin.CD",,,https://arxiv.org/abs/2602.22061v2,https://arxiv.org/abs/2602.22061v2,https://arxiv.org/pdf/2602.22061v2,data/legacy_notebook/arxiv_original_filtered.csv,,37.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6; \bdenoising diffusion\b:7; \bdenoising diffusion probabilistic model(s)?\b:8; \bgenerative model(s)?\b:4; \bquantum generative\b:6,,score=37; positives=7; negatives=0,DDPM / denoising diffusion,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00005,Legacy arXiv notebook; arXiv,not_screened,,,True,True,37.0,DDPM / denoising diffusion,"all:""quantum diffusion model""",retrieved,True,True,True,True,False,False,False,high,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q03; Q08; Q09; Q14,2602.22061,True,False,False,False
2026-07-09T184559Z_780688a_R007375,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2602.03405,Enhancing Quantum Diffusion Models for Complex Image Generation,enhancing quantum diffusion models for complex image generation,"Quantum generative models offer a novel approach to exploring high-dimensional Hilbert spaces but face significant challenges in scalability and expressibility when applied to multi-modal distributions. In this study, we explore a Hybrid Quantum-Classical U-Net architecture integrated with Adaptive Non-Local Observables (ANO) as a potential solution to these hurdles. By compressing classical data into a dense quantum latent space and utilizing trainable observables, our model aims to extract non-local features that complement classical processing. We also investigate the role of Skip Connections in preserving semantic information during the reverse diffusion process. Experimental results on the full MNIST dataset (digits 0-9) demonstrate that the proposed architecture is capable of generating structurally coherent and recognizable images for all digit classes. While hardware constraints still impose limitations on resolution, our findings suggest that hybrid architectures with adaptive measurements provide a feasible pathway for mitigating mode collapse and enhancing generative capabilities in the NISQ era.",Jeongbin Jo; Santanam Wishal; Shah Md Khalil Ullah; Shan Zeng; Dikshant Dulal,Jeongbin Jo,2026-02-03T11:32:19Z,2026,2026-02-05T16:55:22Z,,,2602.03405,arXiv,,preprint,,,,,,,"quant-ph, cs.LG",,,https://arxiv.org/abs/2602.03405v2,https://arxiv.org/abs/2602.03405v2,https://arxiv.org/pdf/2602.03405v2,data/legacy_notebook/arxiv_original_filtered.csv,,22.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6; \bgenerative model(s)?\b:4; \bquantum generative\b:6,,score=22; positives=5; negatives=0,quantum generative model,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00006,Legacy arXiv notebook; arXiv,not_screened,,,True,True,22.0,quantum generative model,"all:""quantum diffusion model""",retrieved,True,True,True,False,False,False,False,high,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q08; Q09,2602.03405,True,False,False,False
2026-07-09T184559Z_780688a_R000380,2026-07-09T184559Z_780688a,IEEE,Crossref,Crossref DOI-prefix search,Q02,"""quantum diffusion models""",10.1109/tgrs.2026.3661445,Enriching Earth Observation Labeled Data With Quantum Conditioned Diffusion Models,enriching earth observation labeled data with quantum conditioned diffusion models,"The rapid adoption of diffusion models (DMs) in the Earth Observation (EO) domain has unlocked new generative capabilities aimed at producing new samples, whose statistical properties closely match real imagery, for tasks such as synthesizing missing data, augmenting scarce labeled datasets, and improving image reconstruction. This is particularly relevant in EO, where labeled data are often costly to obtain and limited in availability. However, classical DMs still face significant computational limitations, requiring hundreds to thousands of inference steps, as well as difficulties in capturing the intricate spatial and spectral correlations characteristic of EO data. Recent research in Quantum Machine Learning (QML), including initial attempts of Quantum Generative Models, offers a fundamentally different approach to overcome these challenges. Motivated by these considerations, we introduce the Quanvolutional Conditioned U-Net (QCU-Net), a hybrid quantum--classical architecture that applies quantum operations within a conditioned diffusion framework using a novel quanvolutional feature-extraction approach, for generating synthetic labeled EO imagery. Extensive experiments on the EuroSAT RGB dataset demonstrate that our QCU-Net achieves superior results. Notably, it reduces the Fréchet Inception Distance by 64%, lowers the Kernel Inception Distance by 76%, and yields higher semantic accuracy. Ablation studies further reveal that strategically positioning quantum layers and employing entangling variational circuits enhance model performance and convergence. This work represents the first successful adaptation of class-conditioned quantum diffusion modeling in the EO domain, paving the way for quantum-enhanced remote sensing imagery synthesis.",Francesco Mauro; Francesca De Falco; Lorenzo Papa; Andrea Ceschini; Alessandro Sebastianelli; Paolo Gamba; Massimo Panella; Silvia Liberata Ullo,Francesco Mauro,2026-01-01,2026,2026-02-26,10.1109/tgrs.2026.3661445,10.1109/tgrs.2026.3661445,2512.20448,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Geoscience and Remote Sensing,journal-article,0196-2892; 1558-0644,,64,,1-16,,,https://creativecommons.org/licenses/by/4.0/legalcode,True,https://doi.org/10.1109/tgrs.2026.3661445,https://arxiv.org/abs/2512.20448v1,https://arxiv.org/pdf/2512.20448v1,data/raw/2026-07-09T184559Z_780688a/ieee_crossref/Q02_10_1109_page0.json.gz,2026-07-09T18:46:10.307555+00:00,12.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6,,score=12; positives=3; negatives=0,,valid,DOI prefix matches 10.1109; publisher=Institute of Electrical and Electronics Engineers (IEEE),D00007,IEEE; Legacy arXiv notebook; arXiv,not_screened,,,True,False,26.0,,,retrieved,True,True,False,False,False,False,False,medium,IEEE; Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q08; Q09; Q13; Q17; Q18,10.1109/tgrs.2026.3661445; 2512.20448,True,True,False,True
2026-07-09T184559Z_780688a_R007357,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2512.06695,Mitigating Barren Plateaus in Quantum Denoising Diffusion Probabilistic Model,mitigating barren plateaus in quantum denoising diffusion probabilistic model,"Quantum generative models exploit quantum superposition and entanglement to enhance learning efficiency for both classical and quantum data. Recently, inspired by classical diffusion frameworks, the quantum denoising diffusion probabilistic model (QuDDPM) has emerged as a powerful tool for learning correlated noise models, many-body phases, and topological data structure. However, we demonstrate that QuDDPM's efficacy is currently restricted to small-scale systems (typically $\le$ 5 qubits). As the system size increases, a severe barren plateau (BP) problem emerges, fundamentally limiting the model's scalability. We provide rigorous theoretical proofs and experimental validation to identify the origin of this BP, distinct from previously known causes. To restore trainability, we introduce an architectureal enhancement that mitigates the BP and ensures training stability. Furthermore, we propose a conditional QuDDPM, capable of generating ground states based on Hamiltonian parameters, significantly expanding the utility of quantum generative models for complex quantum state preparation. Our approach not only restores the scalability and trainability bottlenecks of quantum diffusion models but also provides a robust tool for exploring complex quantum matter and state preparation in the NISQ era.",Haipeng Cao; Kaining Zhang; Dacheng Tao; Zhaofeng Su,Haipeng Cao,2025-12-07T07:01:44Z,2025,2026-04-15T07:37:03Z,,,2512.06695,arXiv,,preprint,,,,,,,"cs.LG, quant-ph",,,https://arxiv.org/abs/2512.06695v2,https://arxiv.org/abs/2512.06695v2,https://arxiv.org/pdf/2512.06695v2,data/legacy_notebook/arxiv_original_filtered.csv,,37.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6; \bdenoising diffusion\b:7; \bdenoising diffusion probabilistic model(s)?\b:8; \bgenerative model(s)?\b:4; \bquantum generative\b:6,,score=37; positives=7; negatives=0,DDPM / denoising diffusion,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00008,Legacy arXiv notebook; arXiv,not_screened,,,True,True,37.0,DDPM / denoising diffusion,"all:""quantum diffusion model""",retrieved,True,True,True,True,False,False,False,high,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q03; Q08; Q09; Q14,2512.06695,True,False,False,False
2026-07-09T184559Z_780688a_R007407,2026-07-09T184559Z_780688a,Legacy arXiv notebook,Original notebook reproduction,Reproduced original arXiv notebook logic,LEGACY,"all:""quantum diffusion model""",2511.12221,Channel-Constrained Markovian Quantum Diffusion Model from Open System Perspective,channel constrained markovian quantum diffusion model from open system perspective,"We present a channel-constrained Markovian quantum diffusion (CCMQD) model that prepares quantum states by rigorously framing the generative process within the dynamics of open quantum systems. Our model interprets the forward diffusion process as natural decoherence using quantum master equations, whereas the reverse denoising is achieved by learning inverse quantum channels. Our core innovation is a comprehensive channel-constrained framework: we model the diffusion and denoising steps as quantum channels defined by Kraus operators, ensure their physical validity through optimization on the Stiefel manifold, and introduce tailored training strategies and loss functions that leverage this constrained structure for high-fidelity state reconstruction. Experimental validation on systems ranging from single qubits to entangled states $7$ -qubits demonstrates high-fidelity state generation, achieving fidelities exceeding $0.998$ under both random and depolarizing noise conditions. This work confirms that quantum diffusion can be characterized as a controlled Markov evolution, demonstrating that environmental interactions are not limited to being a source of decoherence but can also be utilized to achieve high-fidelity quantum state synthesis.",Qin-Sheng Zhu; Geng Chen; Lian-Hui Yu; Xiaodong Xing; Xiao-Yu Li,Qin-Sheng Zhu,2025-11-15T13:52:15Z,2025,2025-11-15T13:52:15Z,,,2511.12221,arXiv,,preprint,,,,,,,quant-ph,,,https://arxiv.org/abs/2511.12221v1,https://arxiv.org/abs/2511.12221v1,https://arxiv.org/pdf/2511.12221v1,data/legacy_notebook/arxiv_original_filtered.csv,,14.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6; \bopen quantum system(s)?\b:2,,score=14; positives=4; negatives=0,other / needs manual check,valid,Included because it appears in the reproduced filtered output of the original notebook.,D00009,Legacy arXiv notebook; arXiv,not_screened,,,True,True,14.0,other / needs manual check,"all:""quantum diffusion model""",retrieved,True,True,True,True,False,False,False,high,Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02,2511.12221,True,False,False,False
2026-07-09T184559Z_780688a_R000170,2026-07-09T184559Z_780688a,IEEE,Crossref,Crossref DOI-prefix search,Q01,"""quantum diffusion model""",10.1109/qce65121.2025.10364,Hybrid Quantum-Classical Latent Diffusion Models for Medical Image Generation,hybrid quantum classical latent diffusion models for medical image generation,"Generative learning models in medical research are crucial in developing training data for deep learning models and advancing diagnostic tools, but the problem of high-quality, diverse images is an open topic of research. Quantum-enhanced generative models have been proposed and tested in the literature but have been restricted to small problems below the scale of industry relevance. In this paper, we propose quantum-enhanced diffusion and variational autoencoder (VAE) models and test them on the fundus retinal image generation task. In our numerical experiments, the images generated using quantum-enhanced models are of higher quality, with 86% classified as gradable by external validation compared to 69% with the classical model, and they match more closely in features to the real image distribution compared to the ones generated using classical diffusion models, even when the classical diffusion models are larger than the quantum model. Additionally, we perform noisy testing to confirm the numerical experiments, finding that quantum-enhanced diffusion model can sometimes produce higher quality images, both in terms of diversity and fidelity, when tested with quantum hardware noise. Our results indicate that quantum diffusion models on current quantum hardware are strong targets for further research on quantum utility in generative modeling for industrially relevant problems.",Nora Bauer; Kübra Yeter-Aydeniz; Max Masnick,Nora Bauer,2025-08-30,2025,2025-12-02,10.1109/qce65121.2025.10364,10.1109/qce65121.2025.10364,2508.09903,IEEE,2025 IEEE International Conference on Quantum Computing and Engineering (QCE),proceedings-article,,,,,398-399,,,https://doi.org/10.15223/policy-029; https://doi.org/10.15223/policy-037,True,https://doi.org/10.1109/qce65121.2025.10364,https://arxiv.org/abs/2508.09903v1,https://arxiv.org/pdf/2508.09903v1,data/raw/2026-07-09T184559Z_780688a/ieee_crossref/Q01_10_1109_page0.json.gz,2026-07-09T18:46:03.542692+00:00,12.0,quantum:3; diffusion:3; \bdiffusion model(s)?\b:6,,score=12; positives=3; negatives=0,,valid,DOI prefix matches 10.1109; publisher=IEEE,D00010,IEEE; Legacy arXiv notebook; arXiv,not_screened,,,True,False,16.0,,,retrieved,True,True,True,True,False,False,False,high,IEEE; Legacy arXiv notebook; arXiv,LEGACY; Q01; Q02; Q09; Q10; Q16; Q17; Q18,10.1109/qce65121.2025.10364; 2508.09903,True,True,False,True
