legacy_title,legacy_arxiv_id,legacy_doi,legacy_year,found_in_new_arxiv_search,found_in_ieee,found_in_springer,matched_record_id,match_method,match_confidence,final_status,notes
Mixed-State Quantum Denoising Diffusion Probabilistic Model,2411.17608,,2024,True,False,False,2026-07-09T184559Z_780688a_R007355,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Learning Quantum Data Distribution via Chaotic Quantum Diffusion Model,2602.22061,,2026,True,False,False,2026-07-09T184559Z_780688a_R007356,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Mitigating Barren Plateaus in Quantum Denoising Diffusion Probabilistic Model,2512.06695,,2025,True,False,False,2026-07-09T184559Z_780688a_R007357,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
DiffQ: Unified Parameter Initialization for Variational Quantum Algorithms via Diffusion Models,2509.17324,,2025,True,True,False,2026-07-09T184559Z_780688a_R000342,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Generative quantum machine learning via denoising diffusion probabilistic models,2310.05866,10.1103/physrevlett.132.100602,2023,True,False,False,2026-07-09T184559Z_780688a_R007359,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Stochastic Schrödinger Diffusion Models for Pure-State Ensemble Generation,2605.03573,,2026,True,False,False,2026-07-09T184559Z_780688a_R007360,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Identification of quantum generative circuits with parallel quantum neural network,2603.02834,10.15302/frontphys.2026.113201,2026,True,False,False,2026-07-09T184559Z_780688a_R007361,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Overcoming Dimensional Factorization Limits in Discrete Diffusion Models through Quantum Joint Distribution Learning,2505.05151,,2025,True,False,False,2026-07-09T184559Z_780688a_R007362,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Conditional Diffusion-based Parameter Generation for Quantum Approximate Optimization Algorithm,2407.12242,,2024,True,False,False,2026-07-09T184559Z_780688a_R007363,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Generative Diffusion Model for Real-World Time Series,2606.27561,,2026,True,False,False,2026-07-09T184559Z_780688a_R007364,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Leveraging Diffusion Models for Parameterized Quantum Circuit Generation,2505.20863,,2025,True,True,False,2026-07-09T184559Z_780688a_R000169,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Denoising Diffusion Models,2401.07049,,2024,True,True,False,2026-07-09T184559Z_780688a_R000167,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
An Hybrid Quantum-Classical Diffusion Model for Image Generation,2607.07072,,2026,True,False,False,2026-07-09T184559Z_780688a_R007367,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Enriching Earth Observation labeled data with Quantum Conditioned Diffusion Models,2512.20448,,2025,True,True,False,2026-07-09T184559Z_780688a_R000380,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Fourier Generative Models Trainable at Large Scale,2606.28483,,2026,True,False,False,2026-07-09T184559Z_780688a_R007369,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Hierarchy of discriminative power and complexity in learning quantum ensembles,2601.22005,,2026,True,False,False,2026-07-09T184559Z_780688a_R007370,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Diffusion-Enhanced Optimization of Variational Quantum Eigensolver for General Hamiltonians,2501.05666,,2025,True,False,False,2026-07-09T184559Z_780688a_R007371,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
The Feedback Hamiltonian is the Score Function: A Diffusion-Model Framework for Quantum Trajectory Reversal,2604.21210,,2026,True,False,False,2026-07-09T184559Z_780688a_R007372,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Conditioning in Generative Quantum Denoising Diffusion Models,2509.17569,,2025,True,False,False,2026-07-09T184559Z_780688a_R007373,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Learning and Generating Mixed States Prepared by Shallow Channel Circuits,2604.01197,,2026,True,False,False,2026-07-09T184559Z_780688a_R007374,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Enhancing Quantum Diffusion Models for Complex Image Generation,2602.03405,,2026,True,False,False,2026-07-09T184559Z_780688a_R007375,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Reinforcement Learning-Guided Diffusion Model for Image Synthesis via Hybrid Quantum-Classical Generative Model Architectures,2509.14163,,2025,True,True,False,2026-07-09T184559Z_780688a_R000158,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
MediQ-GAN: Quantum-Inspired GAN for High Resolution Medical Image Generation,2506.21015,,2025,True,False,False,2026-07-09T184559Z_780688a_R007377,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Synthesis of discrete-continuous quantum circuits with multimodal diffusion models,2506.01666,10.1088/2632-2153/ae5b21,2025,True,False,False,2026-07-09T184559Z_780688a_R007378,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Generative Models for Image Generation: Insights from MNIST and MedMNIST,2504.00034,,2025,True,False,False,2026-07-09T184559Z_780688a_R007379,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum circuit synthesis with diffusion models,2311.02041,10.1038/s42256-024-00831-9,2023,True,False,False,2026-07-09T184559Z_780688a_R007380,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Hypothesis Tests for Observing Quantum Entanglement in HWW at the LHC,2605.19754,,2026,True,False,False,2026-07-09T184559Z_780688a_R007381,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Enhancing Quantum Diffusion Models with Pairwise Bell State Entanglement,2411.15973,,2024,True,False,True,2026-07-09T184559Z_780688a_R003988,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Continuous-variable Quantum Diffusion Model for State Generation and Restoration,2506.19270,,2025,True,False,False,2026-07-09T184559Z_780688a_R007383,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum sequential scattering model for quantum state learning,2310.07797,,2023,True,False,False,2026-07-09T184559Z_780688a_R007384,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Lie Group Diffusion Models for Hardware-Aware Quantum Circuit Synthesis,2606.29636,,2026,True,False,False,2026-07-09T184559Z_780688a_R007385,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
From Characterization To Construction: Generative Quantum Circuit Synthesis from Gate Set Tomography Data,2605.01367,,2026,True,False,False,2026-07-09T184559Z_780688a_R007386,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
A purely Quantum Generative Modeling through Unitary Scrambling and Collapse,2506.10571,,2025,True,False,False,2026-07-09T184559Z_780688a_R007387,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
CQ CNN: A Hybrid Classical Quantum Convolutional Neural Network for Alzheimer's Disease Detection Using Diffusion Generated and U Net Segmented 3D MRI,2503.02345,,2025,True,False,False,2026-07-09T184559Z_780688a_R007388,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
UDiTQC: U-Net-Style Diffusion Transformer for Quantum Circuit Synthesis,2501.16380,,2025,True,False,False,2026-07-09T184559Z_780688a_R007389,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Diffusion Models for Few-Shot Learning,2411.04217,,2024,True,True,False,2026-07-09T184559Z_780688a_R000230,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
The Score Hamiltonian: Mapping Diffusion Models to Adiabatic Transport,2606.05217,,2026,True,False,False,2026-07-09T184559Z_780688a_R007391,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Hybrid Quantum-Classical Corrective Diffusion Modeling for Meteorological Downscaling,2605.23403,,2026,True,False,False,2026-07-09T184559Z_780688a_R007392,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Physics Guided Generative Optimization for Trotter Suzuki Decomposition,2605.13268,,2026,True,False,False,2026-07-09T184559Z_780688a_R007393,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Physics-inspired Generative AI models via real hardware-based noisy quantum diffusion,2505.22193,,2025,True,False,False,2026-07-09T184559Z_780688a_R007394,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Latent Diffusion Models,2501.11174,10.1007/s42484-024-00224-6,2025,True,False,True,2026-07-09T184559Z_780688a_R007395,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Diffusion Model for Quark and Gluon Jet Generation,2412.21082,,2024,True,False,False,2026-07-09T184559Z_780688a_R007396,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Prepare Ansatz for VQE with Diffusion Model,2310.02511,,2023,True,False,False,2026-07-09T184559Z_780688a_R007397,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Spectral Diffusion for Sampling on ${\rm SU}(N)$,2512.19877,,2025,True,False,False,2026-07-09T184559Z_780688a_R007398,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Measurement-Based Quantum Diffusion Models,2508.08799,,2025,True,False,False,2026-07-09T184559Z_780688a_R007399,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
A Score-Based Model for Learning Neural Wavefunctions,2305.16540,,2023,True,False,False,2026-07-09T184559Z_780688a_R007400,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Hybrid Quantum-Classical Latent Diffusion Models for Medical Image Generation,2508.09903,,2025,True,True,False,2026-07-09T184559Z_780688a_R000170,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Schrödinger Bridge with Quadratic State Cost is Exactly Solvable,2406.00503,,2024,True,False,False,2026-07-09T184559Z_780688a_R007402,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Scaling Laws of Quantum Information Lifetime in Monitored Quantum Dynamics,2506.22755,10.1103/7717-1mw2,2025,True,False,False,2026-07-09T184559Z_780688a_R007403,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Diffusion-Inspired Quantum Noise Mitigation in Parameterized Quantum Circuits,2406.00843,,2024,True,False,True,2026-07-09T184559Z_780688a_R003768,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Quantum Diffusion Models,2311.15444,,2023,True,False,False,2026-07-09T184559Z_780688a_R007405,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Stochastic Schrödinger Equations for Quantum Reverse Diffusion,2511.15919,10.1103/f7fd-2rb9,2025,True,False,False,2026-07-09T184559Z_780688a_R007406,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Channel-Constrained Markovian Quantum Diffusion Model from Open System Perspective,2511.12221,,2025,True,False,False,2026-07-09T184559Z_780688a_R007407,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Effective Color Dipole Approach to Color Transparency in $ρ^0$ Electroproduction,2607.00566,,2026,True,False,False,2026-07-09T184559Z_780688a_R007408,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Deuteron normalization and channel-dependent formation dynamics in pion and kaon color transparency,2604.05612,,2026,True,False,False,2026-07-09T184559Z_780688a_R007409,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Score Reversal Is Not Free for Quantum Diffusion Models,2603.06488,,2026,True,False,False,2026-07-09T184559Z_780688a_R007410,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
"Naive parton picture for kaon color transparency in $A(e,e'K^+)$",2506.15331,10.1088/1674-1137/ae6b20,2025,True,False,False,2026-07-09T184559Z_780688a_R007411,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
"Nuclear transparency and shadowing of the two-step process in the $A(e,e'π^+)$ reaction",2409.05129,,2024,True,False,False,2026-07-09T184559Z_780688a_R007412,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Towards Efficient Quantum Hybrid Diffusion Models,2402.16147,10.1007/s13218-024-00858-5,2024,True,False,True,2026-07-09T184559Z_780688a_R007413,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
"Color coherence effects in the reaction $d(p,2p)n$",2208.08832,10.1103/physrevc.107.014605,2022,True,False,False,2026-07-09T184559Z_780688a_R007414,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Control-affine Schrödinger Bridge and Generalized Bohm Potential,2508.08511,,2025,True,True,False,2026-07-09T184559Z_780688a_R003393,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
Weyl Calculus and Exactly Solvable Schrödinger Bridges with Quadratic State Cost,2407.15245,,2024,True,True,False,2026-07-09T184559Z_780688a_R001329,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
"Neutron tunneling: A new mechanism to power explosive phenomena in neutron stars, magnetars, and neutron star mergers",2011.14953,10.3847/1538-4357/abf141,2020,True,False,False,2026-07-09T184559Z_780688a_R007417,arxiv_id,1.0,matched,Matched against consolidated unique dataset.
