run_id,database_scope,retrieval_source,query_id,query_text,doi_prefix,from_pub_date,until_pub_date,started_at_utc,finished_at_utc,api_total_results,retrieved_records,unique_records_before_cross_source_deduplication,http_requests,retries,truncated,status,error_message,extra
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q01,"all:""quantum diffusion model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.274849+00:00,2026-07-09T18:45:59.493923+00:00,29,29,25,1,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q02,"all:""quantum diffusion models""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.493933+00:00,2026-07-09T18:45:59.519816+00:00,29,29,25,2,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q03,"all:""quantum denoising diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.519825+00:00,2026-07-09T18:45:59.535849+00:00,9,9,9,3,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q04,"all:""quantum score-based""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.535856+00:00,2026-07-09T18:45:59.545781+00:00,0,0,0,4,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q05,"all:""score-based quantum""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.545790+00:00,2026-07-09T18:45:59.556398+00:00,0,0,0,5,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q06,"all:""stochastic Schrödinger diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.556408+00:00,2026-07-09T18:45:59.567766+00:00,1,1,1,6,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q07,"all:""stochastic Schrodinger diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.567773+00:00,2026-07-09T18:45:59.579122+00:00,0,0,0,7,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q08,"all:""quantum generative model"" AND all:""diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.579131+00:00,2026-07-09T18:45:59.596049+00:00,11,11,11,8,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q09,"all:""quantum generative models"" AND all:""diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.596056+00:00,2026-07-09T18:45:59.613277+00:00,11,11,11,9,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q10,"all:""quantum circuit"" AND all:""diffusion model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.613284+00:00,2026-07-09T18:45:59.635933+00:00,21,21,21,10,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q11,"all:""quantum neural network"" AND all:""diffusion model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.635940+00:00,2026-07-09T18:45:59.649133+00:00,3,3,3,11,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q12,"all:""variational quantum"" AND all:""diffusion model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.649140+00:00,2026-07-09T18:45:59.663319+00:00,8,8,8,12,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q13,"all:""quantum machine learning"" AND all:""diffusion model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.663326+00:00,2026-07-09T18:45:59.681550+00:00,10,10,10,13,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q14,"all:""quantum"" AND all:""denoising diffusion probabilistic model""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.681556+00:00,2026-07-09T18:45:59.697497+00:00,11,11,11,14,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q15,"all:""quantum"" AND all:""DDPM""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.697504+00:00,2026-07-09T18:45:59.709666+00:00,4,4,4,15,0,False,ok,,{}
2026-07-09T184559Z_780688a,arXiv,arXiv API,Q16,"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",,2020-01-01,2026-07-09,2026-07-09T18:45:59.709672+00:00,2026-07-09T18:45:59.722213+00:00,5,5,5,16,0,False,ok,,{}
